Title,Abstract,Journal,Language,Year,Month
Construction of Processable Ultrastiff Hydrogel for Periarticular Fracture Strutting and Healing.,"Development of bioactive bone and joint implants that offer superior mechanical properties to facilitate personalized surgical procedures remains challenging in the field of biomedical materials. As for the hydrogel, mechanical property and processability are major obstructions hampering its application as load-bearing scaffolds in orthopedics. Herein, we constructed implantable composite hydrogels with appealing processability and ultrahigh stiffness. Central to our design is the incorporation of a thixotropic composite network into an elastic polymer network via dynamic interactions to synthesize a percolation-structured double-network (DN) hydrogel with plasticity, followed by in situ strengthening and self-strengthening mechanisms for fostering the DN structure to the cojoined-network structure and subsequently mineralized-composite-network structure to harvest excellent stiffness. The ultrastiff hydrogel is shapeable and can reach a compressive modulus of 80-200 MPa together with a fracture energy of 6-10 MJ/m<sup>3</sup>, comparable to the mechanical performance of cancellous bone. Moreover, the hydrogel is cytocompatible, osteogenic, and showed almost no volume shrinkage within 28 days in simulated body fluid or culture medium. Such characteristics enabled the utility of a hydrogel in the reduction and stabilization of periarticular fracture treatment on a distal femoral AO/OTA B1 fracture rabbit model and successfully avoided the recollapse of the articular surface.",Biomacromolecules,eng,2023,May
Engineered Nanotechnology: An Effective Therapeutic Platform for the Chronic Cutaneous Wound.,"The healing of chronic wound infections, especially cutaneous wounds, involves a complex cascade of events demanding mutual interaction between immunity and other natural host processes. Wound infections are caused by the consortia of microbial species that keep on proliferating and produce various types of virulence factors that cause the development of chronic infections. The mono- or polymicrobial nature of surface wound infections is best characterized by its ability to form biofilm that renders antimicrobial resistance to commonly administered drugs due to poor biofilm matrix permeability. With an increasing incidence of chronic wound biofilm infections, there is an urgent need for non-conventional antimicrobial approaches, such as developing nanomaterials that have intrinsic antimicrobial-antibiofilm properties modulating the biochemical or biophysical parameters in the wound microenvironment in order to cause disruption and removal of biofilms, such as designing nanomaterials as efficient drug-delivery vehicles carrying antibiotics, bioactive compounds, growth factor antioxidants or stem cells reaching the infection sites and having a distinct mechanism of action in comparison to antibiotics-functionalized nanoparticles (NPs) for better incursion through the biofilm matrix. NPs are thought to act by modulating the microbial colonization and biofilm formation in wounds due to their differential particle size, shape, surface charge and composition through alterations in bacterial cell membrane composition, as well as their conductivity, loss of respiratory activity, generation of reactive oxygen species (ROS), nitrosation of cysteines of proteins, lipid peroxidation, DNA unwinding and modulation of metabolic pathways. For the treatment of chronic wounds, extensive research is ongoing to explore a variety of nanoplatforms, including metallic and nonmetallic NPs, nanofibers and self-accumulating nanocarriers. As the use of the magnetic nanoparticle (MNP)-entrenched pre-designed hydrogel sheet (MPS) is found to enhance wound healing, the bio-nanocomposites consisting of bacterial cellulose and magnetic nanoparticles (magnetite) are now successfully used for the healing of chronic wounds. With the objective of precise targeting, some kinds of ""intelligent"" nanoparticles are constructed to react according to the required environment, which are later incorporated in the dressings, so that the wound can be treated with nano-impregnated dressing material in situ. For the effective healing of skin wounds, high-expressing, transiently modified stem cells, controlled by nano 3D architectures, have been developed to encourage angiogenesis and tissue regeneration. In order to overcome the challenge of time and dose constraints during drug administration, the approach of combinatorial nano therapy is adopted, whereby AI will help to exploit the full potential of nanomedicine to treat chronic wounds.","Nanomaterials (Basel, Switzerland)",eng,2022,Feb
"Oxide Cathodes: Functions, Instabilities, Self Healing, and Degradation Mitigations.","Recent progress in high-energy-density oxide cathodes for lithium-ion batteries has pushed the limits of lithium usage and accessible redox couples. It often invokes hybrid anion- and cation-redox (HACR), with exotic valence states such as oxidized oxygen ions under high voltages. Electrochemical cycling under such extreme conditions over an extended period can trigger various forms of chemical, electrochemical, mechanical, and microstructural degradations, which shorten the battery life and cause safety issues. Mitigation strategies require an in-depth understanding of the underlying mechanisms. Here we offer a systematic overview of the functions, instabilities, and peculiar materials behaviors of the oxide cathodes. We note unusual anion and cation mobilities caused by high-voltage charging and exotic valences. It explains the extensive lattice reconstructions at room temperature in both good (plasticity and self-healing) and bad (phase change, corrosion, and damage) senses, with intriguing electrochemomechanical coupling. The insights are critical to the understanding of the unusual self-healing phenomena in ceramics (e.g., grain boundary sliding and lattice microcrack healing) and to novel cathode designs and degradation mitigations (e.g., suppressing stress-corrosion cracking and constructing reactively wetted cathode coating). Such mixed ionic-electronic conducting, electrochemically active oxides can be thought of as almost ""metalized"" if at voltages far from the open-circuit voltage, thus differing significantly from the highly insulating ionic materials in electronic transport and mechanical behaviors. These characteristics should be better understood and exploited for high-performance energy storage, electrocatalysis, and other emerging applications.",Chemical reviews,eng,2023,Jan
Current challenges and future directions for bacterial self-healing concrete.,"Microbially induced calcium carbonate precipitation (MICP) has been widely explored and applied in the field of environmental engineering over the last decade. Calcium carbonate is naturally precipitated as a byproduct of various microbial metabolic activities. This biological process was brought into practical use to restore construction materials, strengthen and remediate soil, and sequester carbon. MICP has also been extensively examined for applications in self-healing concrete. Biogenic crack repair helps mitigate the high maintenance costs of concrete in an eco-friendly manner. In this process, calcium carbonate precipitation (CCP)-capable bacteria and nutrients are embedded inside the concrete. These bacteria are expected to increase the durability of the concrete by precipitating calcium carbonate in situ to heal cracks that develop in the concrete. However, several challenges exist with respect to embedding such bacteria; harsh conditions in concrete matrices are unsuitable for bacterial life, including high alkalinity (pH up to 13), high temperatures during manufacturing processes, and limited oxygen supply. Additionally, many biological factors, including the optimum conditions for MICP, the molecular mechanisms involved in MICP, the specific microorganisms suitable for application in concrete, the survival characteristics of the microorganisms embedded in concrete, and the amount of MICP in concrete, remain unclear. In this paper, metabolic pathways that result in conditions favorable for calcium carbonate precipitation, current and potential applications in concrete, and the remaining biological challenges are reviewed.",Applied microbiology and biotechnology,eng,2018,Apr
Immobilized bacteria with pH-response hydrogel for self-healing of concrete.,"Concrete is significant for construction. A problem in application is the appearance of cracks that will damage its strength. An autogenous crack-healing mechanism based on bacteria receives increasing attention in recent years. The bacteria are able to form calcium carbonate (CaCO<sub>3</sub>) precipitations in suitable conditions to protect and reinforce the concrete. However, a large number of spores are crushed in aged specimens, resulting in a loss of viability. A new kind of hydrogel crosslinked by alginate, chitosan and calcium ions was introduced in this study. It was observed that the addition of chitosan improved the swelling properties of calcium alginate. Opposite pH response to calcium alginate was observed when the chitosan content in the solution reached 1.0%. With an addition of 1.0% chitosan in hydrogel beads, 10.28% increase of compressive strength and 13.79% increase of flexural strength to the control were observed. The results reveal self-healing properties of concretes. A healing crack of 4 cm length and 1 mm width was observed when using cement PO325, with the addition of bacterial spores (2.54-3.07 × 10<sup>5</sup>/cm<sup>3</sup> concrete) encapsulated by hydrogel containing no chitosan.",Journal of environmental management,eng,2020,May
Development of a self-healing soft pneumatic actuator: a first concept.,"Inspired by the intrinsic softness and the corresponding embodied intelligence principles, soft pneumatic actuators (SPA) have been developed, which ensure safe interaction in unstructured, unknown environments. Due to their intrinsic softness, these actuators have the ability to resist large mechanical impacts. However, the soft materials used in these structures are in general susceptible to damage caused by sharp objects found in the unstructured environments. This paper proposes to integrate a self-healing (SH-) mechanism in SPAs, such that cuts, tears and perforations in the actuator can be self-healed. Diels-Alder (DA-) polymers, covalent polymer network systems based on the thermoreversible DA-reaction, were selected and their mechanical, as well as SH-properties, are described. To evaluate the feasibility of developing an SPA constructed out of SH-material, a single cell prototype, a SH-soft pneumatic cell (SH-SPC), was constructed entirely out of DA-polymers. Exploiting the SH-property of the DA-polymers, a completely new shaping process is presented in this paper, referred to as 'shaping through folding and self-healing'. 3D polygon structures, like the cubic SH-SPC, can be constructed by folding SH-polymer sheet. The sides of the structures can be sealed and made airtight using a SH-procedure at relatively low temperatures (<90 °C). Both the (thermo) mechanical and SH-properties of the SH-SPC prototype were experimentally validated and showed excellent performances. Macroscopic incisions in the prototype were completely healed using a SH-procedure (<70 °C). Starting from this single-cell prototype, it is straight-forward to develop a multi-cell prototype, the first SPA ever built completely out of SH-polymers.",Bioinspiration & biomimetics,eng,2015,Jul
Detecting the activation of a self-healing mechanism in concrete by acoustic emission and digital image correlation.,"Autonomous crack healing in concrete is obtained when encapsulated healing agent is embedded into the material. Cracking damage in concrete elements ruptures the capsules and activates the healing process by healing agent release. Previously, the strength and stiffness recovery as well as the sealing efficiency after autonomous crack repair was well established. However, the mechanisms that trigger capsule breakage remain unknown. In parallel, the conditions under which the crack interacts with embedded capsules stay black-box. In this research, an experimental approach implementing an advanced optical and acoustic method sets up scopes to monitor and justify the crack formation and capsule breakage of concrete samples tested under three-point bending. Digital Image Correlation was used to visualize the crack opening. The optical information was the basis for an extensive and analytical study of the damage by Acoustic Emission analysis. The influence of embedding capsules on the concrete fracture process, the location of capsule damage, and the differentiation between emissions due to capsule rupture and crack formation are presented in this research. A profound observation of the capsules performance provides a clear view of the healing activation process.",TheScientificWorldJournal,eng,2013,No Data
The Horizon of Materiobiology: A Perspective on Material-Guided Cell Behaviors and Tissue Engineering.,"Although the biological functions of cell and tissue can be regulated by biochemical factors (e.g., growth factors, hormones), the biophysical effects of materials on the regulation of biological activity are receiving more attention. In this Review, we systematically summarize the recent progress on how biomaterials with controllable properties (e.g., compositional/degradable dynamics, mechanical properties, 2D topography, and 3D geometry) can regulate cell behaviors (e.g., cell adhesion, spreading, proliferation, cell alignment, and the differentiation or self-maintenance of stem cells) and tissue/organ functions. How the biophysical features of materials influence tissue/organ regeneration have been elucidated. Current challenges and a perspective on the development of novel materials that can modulate specific biological functions are discussed. The interdependent relationship between biomaterials and biology leads us to propose the concept of ""materiobiology"", which is a scientific discipline that studies the biological effects of the properties of biomaterials on biological functions at cell, tissue, organ, and the whole organism levels. This Review highlights that it is more important to develop ECM-mimicking biomaterials having a self-regenerative capacity to stimulate tissue regeneration, instead of attempting to recreate the complexity of living tissues or tissue constructs ex vivo. The principles of materiobiology may benefit the development of novel biomaterials providing combinative bioactive cues to activate the migration of stem cells from endogenous reservoirs (i.e., cell niches), stimulate robust and scalable self-healing mechanisms, and unlock the body's innate powers of regeneration.",Chemical reviews,eng,2017,Mar
Molecular interaction mechanisms of glycol chitosan self-healing hydrogel as a drug delivery system for gemcitabine and doxorubicin.,"Glycol chitosan is a derivative of chitosan that has attracted attention in recent years due to its biocompatibility and biodegradability. Due to its unique biological characteristics, it has been widely used in hydrogels and biomaterials. In this study, we explored the loading efficiency of a self-healing hydrogel (GC-DP) comprising glycol chitosan (GC) and telechelic difunctional poly(ethylene glycol) (DF-PEG) for delivering the anticancer drugs gemcitabine and doxorubicin through full atomistic simulations. We also constructed full atomistic models of the two drug delivery systems at three drug concentrations of 10%, 40%, and 80% to understand how the drug concentration affects the loading efficiency and molecular structure of the GC-DP hydrogels. Through the analysis of the results, we show that the GC-DP hydrogel exhibits excellent loading efficiency for both gemcitabine and doxorubicin at all drug concentrations (10%, 40% and 80%). Our results reveal that the main mechanism of interaction between the GC-DP hydrogels and gemcitabine is van der Waals adsorption and that the dominant interactions between the GC-DP hydrogel and doxorubicin are hydrogen bonds for the D10 model and van der Waals adsorption for the D40 and D80 models. Our results provide molecular insights into how drug molecules are carried by hydrogel materials and indicate that the GC-DP hydrogel is a promising candidate for carrying both gemcitabine and doxorubicin, and thus serving as a novel drug carrier for cancer treatment.",Computational and structural biotechnology journal,eng,2022,No Data
Recent advances in eco-friendly fabrics with special wettability for oil/water separation.,"Considering the serious damage to aquatic ecosystems and marine life caused by oil spills and oily wastewater discharge, efficient, environment-friendly and sustainable oil/water separation technology has become an inevitable trend for current development. Herein, fabrics are recognized as eco-friendly materials for water treatment due to their good degradability and low cost. Particularly, fabrics with rough structures and natural hydrophilicity/oleophilicity enable the construction of superwetting surfaces for the selective separation of oil/water mixtures and even complex emulsions. Therefore, superwetting fabrics for efficiently solving oil spills and purifying oily wastewater have received extensive attention. Especially, Janus and smart fabrics are highly anticipated to enable the on-demand and sustainable treatment of oil spills and oily wastewater due to their changeable wettability. Moreover, the fabrication of superwetting fabrics with multifunctional performances for oily wastewater purification can further promote their practical industrial applications, such as photocatalytic, self-cleaning, and self-healing characteristics. However, some potential challenges still exist, which urgently need to be systematically summarized to guide the future development of this research field. In this review, firstly, the fundamental theories of wettability and the separation mechanisms based on special wettability are discussed. Then, superwetting fabrics for efficient oil/water separation are systematically reviewed, such as superhydrophobic/superoleophilic (SHB/SOL), superhydrophilic/superoleophobic (SHL/SOB), SHL/underwater superoleophobic (SHL/UWSOB), and UWSOB/underoil superoleophobic (UWSOB/UOSHB) fabrics. Most importantly, we highlight Janus, smart, and multifunctional fabrics based on their superwetting property. Correspondingly, the advantages and disadvantages of each superwetting fabric are comprehensively analyzed. Besides, super-antiwetting fabrics with superhydrophobic/superoleophobic (SHB/SOB) property are also introduced. Finally, the challenges and future research directions are explained.","Chemical communications (Cambridge, England)",eng,2022,Dec
A Review of Smart Lubricant-Infused Surfaces for Droplet Manipulation.,"The nepenthes-inspired lubricant-infused surface (LIS) is emerging as a novel repellent surface with self-healing, self-cleaning, pressure stability and ultra-slippery properties. Recently, stimuli-responsive materials to construct a smart LIS have broadened the application of LIS for droplet manipulation, showing great promise in microfluidics. This review mainly focuses on the recent developments towards the droplet manipulation on LIS with different mechanisms induced by various external stimuli, including thermo, light, electric, magnetism, and mechanical force. First, the droplet condition on LIS, determined by the properties of the droplet, the lubricant and substrate, is illustrated. Droplet manipulation via altering the droplet regime realized by different mechanisms, such as varying slipperiness, electrostatic force and wettability, is discussed. Moreover, some applications on droplet manipulation employed in various filed, including microreactors, microfluidics, etc., are also presented. Finally, a summary of this work and possible future research directions for the transport of droplets on smart LIS are outlined to promote the development of this field.","Nanomaterials (Basel, Switzerland)",eng,2021,Mar
Zwitterionic fusion in hydrogels and spontaneous and time-independent self-healing under physiological conditions.,"The biomedical applications of current self-healing materials are largely impeded by their healing conditions, which usually require heating, UV exposure or harsh pH environments. At the same time, for very few existing spontaneously self-healing materials, healing can only be achieved immediately after rupture occurs. Here, we developed a spontaneously healing material, driven by a new mechanism, ""zwitterionic fusion"", which is repairable independent of time after damage under physiological conditions. We also tested the anti-fatigue property of this zwitterionic hydrogel. Furthermore, we utilized this zwitterionic fusion to link different cell-hydrogel constructs together.",Biomaterials,eng,2014,Apr
An in situ and rapid self-healing strategy enabling a stretchable nanocomposite with extremely durable and highly sensitive sensing features.,"Progress toward the development of wearable electromechanical sensors with durable and reliable sensing performance is critical for emerging wearable integrated electronic applications. However, it remains a long-standing challenge to realize mechanically stretchable sensing materials with extremely durable and high-performing sensing ability due to the fundamental dilemma lying in the sensing mechanism. In this work, we proposed an in situ and rapid self-healing strategy through nano-confining a dynamic host-guest supramolecular polymer network in a graphene-based multilevel nanocomposite matrix to fabricate a mechanically stretchable and structurally healable sensing nanocomposite which is provided with intriguing sensing durability and sensitivity simultaneously. When repeatedly stretching and releasing the nanocomposite sensing film, the fast association kinetics of cyclodextrin and adamantane host-guest inclusion complexes and good polymer chain dynamics in the supramolecular polymer network endowed by the nanoconfinement effect enable autonomous and rapid repair of the micro-cracks in situ generated in the sensing material. As a result, our strain sensing devices can achieve an extremely high durability and retain stable sensing performance even after over 100 000 stretching-releasing cycles at large strain of 50%. Moreover, the brittle nature originated from the inorganically dominated structure in conjunction with the thermodynamically stable host-guest interactions and dynamic hydrogen bonds inside the multilevel nanocomposite allow the sensing material to exhibit an ultrahigh gauge factor over 1500 with a large working strain of 58%. This work presents a reliable approach for the construction of ultradurable and high-performing wearable electronics.",Materials horizons,eng,2021,Jan
Constructive adaptation of 3D-printable polymers in response to typically destructive aquatic environments.,"In response to environmental stressors, biological systems exhibit extraordinary adaptive capacity by turning destructive environmental stressors into constructive factors; however, the traditional engineering materials weaken and fail. Take the response of polymers to an aquatic environment as an example: Water molecules typically compromise the mechanical properties of the polymer network in the bulk and on the interface through swelling and lubrication, respectively. Here, we report a class of 3D-printable synthetic polymers that constructively strengthen their bulk and interfacial mechanical properties in response to the aquatic environment. The mechanism relies on a water-assisted additional cross-linking reaction in the polymer matrix and on the interface. As such, the typically destructive water can constructively enhance the polymer's bulk mechanical properties such as stiffness, tensile strength, and fracture toughness by factors of 746% to 790%, and the interfacial bonding by a factor of 1,000%. We show that the invented polymers can be used for soft robotics that self-strengthen matrix and self-heal cracks after training in water and water-healable packaging materials for flexible electronics. This work opens the door for the design of synthetic materials to imitate the constructive adaptation of biological systems in response to environmental stressors, for applications such as artificial muscles, soft robotics, and flexible electronics.",PNAS nexus,eng,2022,Jul
A Bioinspired Self-Healing Conductive Hydrogel Promoting Peripheral Nerve Regeneration.,"The development of self-healing conductive hydrogels is critical in electroactive nerve tissue engineering. Typical conductive materials such as polypyrrole (PPy) are commonly used to fabricate artificial nerve conduits. Moreover, the field of tissue engineering has advanced toward the use of products such as hyaluronic acid (HA) hydrogels. Although HA-modified PPy films are prepared for various biological applications, the cell-matrix interaction mechanisms remain poorly understood; furthermore, there are no reports on HA-modified PPy-injectable self-healing hydrogels for peripheral nerve repair. Therefore, in this study, a self-healing electroconductive hydrogel (HASPy) from HA, cystamine (Cys), and pyrrole-1-propionic acid (Py-COOH), with injectability, biodegradability, biocompatibility, and nerve-regenerative capacity is constructed. The hydrogel directly targets interleukin 17 receptor A (IL-17RA) and promotes the expression of genes and proteins relevant to Schwann cell myelination mainly by activating the interleukin 17 (IL-17) signaling pathway. The hydrogel is injected directly into the rat sciatic nerve-crush injury sites to investigate its capacity for nerve regeneration in vivo and is found to promote functional recovery and remyelination. This study may help in understanding the mechanism of cell-matrix interactions and provide new insights into the potential use of HASPy hydrogel as an advanced scaffold for neural regeneration.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",eng,2023,Aug
Self-Assembly of Silk-like Protein into Nanoscale Bicontinuous Networks under Phase-Separation Conditions.,"Liquid-liquid phase separation of biomacromolecules is crucial in various inter- and extracellular biological functions. This includes formation of condensates to control, e.g., biochemical reactions and structural assembly. The same phenomenon is also found to be critically important in protein-based high-performance biological materials. Here, we use a well-characterized model triblock protein system to demonstrate the molecular level formation mechanism and structure of its condensate. Large-scale molecular modeling supported by analytical ultracentrifuge characterization combined with our earlier high magnification precision cryo-SEM microscopy imaging leads to deducing that the condensate has a bicontinuous network structure. The bicontinuous network rises from the proteins having a combination of sites with stronger mutual attraction and multiple weakly attractive regions connected by flexible, multiconfigurational linker regions. These attractive sites and regions behave as stickers of varying adhesion strength. For the examined model triblock protein construct, the β-sheet-rich end units are the stronger stickers, while additional weaker stickers, contributing to the condensation affinity, rise from spring-like connections in the flexible middle region of the protein. The combination of stronger and weaker sticker-like connections and the flexible regions between the stickers result in a versatile, liquid-like, self-healing structure. This structure also explains the high flexibility, easy deformability, and diffusion of the proteins, decreasing only 10-100 times in the bicontinuous network formed in the condensate phase in comparison to dilute protein solution. The here demonstrated structure and condensation mechanism of a model triblock protein construct via a combination of the stronger binding regions and the weaker, flexible sacrificial-bond-like network as well as its generalizability via polymer sticker models provide means to not only understand intracellular organization, regulation, and cellular function but also to identify direct control factors for and to enable engineering improved protein and polymer constructs to enhance control of advanced fiber materials, smart liquid biointerfaces, or self-healing matrices for pharmaceutics or bioengineering materials.",Biomacromolecules,eng,2021,Feb
Controlling the calcium carbonate microstructure of engineered living building materials.,"The fabrication of responsive soft materials that enable the controlled release of microbial induced calcium carbonate (CaCO<sub>3</sub>) precipitation (MICP) would be highly desirable for the creation of living materials that can be used, for example, as self-healing construction materials. To obtain a tight control over the mechanical properties of these materials, needed for civil engineering applications, the amount, location, and structure of the forming minerals must be precisely tuned; this requires good control over the dynamic functionality of bacteria. Despite recent advances in the self-healing of concrete cracks and the understanding of the role of synthesis conditions on the CaCO<sub>3</sub> polymorphic regulation, the degree of control over the CaCO<sub>3</sub> remains insufficient to meet these requirements. We demonstrate that the amount and location of CaCO<sub>3</sub> produced within a matrix, can be controlled through the concentration and location of bacteria; these parameters can be precisely tuned if bacteria are encapsulated, as we demonstrate with the soil-dwelling bacterium <i>Sporosarcina pasteurii</i> that is deposited within biocompatible alginate and carboxymethyl cellulose (CMC) hydrogels. Using a competitive ligand exchange mechanism that relies on the presence of yeast extract, we control the timing of the release of calcium ions that crosslink the alginate or CMC without compromising bacterial viability. With this novel use of hydrogel encapsulation of bacteria for on-demand release of MICP, we achieve control over the amount and structure of CaCO<sub>3</sub>-based composites and demonstrate that <i>S. pasteurii</i> can be stored for up to 3 months at an accessible storage temperature of 4 °C, which are two important factors that currently limit the applicability of MICP for the reinforcement of construction materials. These composites thus have the potential to sense, respond, and heal without the need for external intervention.",Journal of materials chemistry. A,eng,2021,Nov
Aspiration-assisted freeform bioprinting of prefabricated tissue spheroids in a yield-stress gel.,"Bioprinting of cellular aggregates, such as tissue spheroids, to form three-dimensional (3D) complex-shaped arrangements, has posed a major challenge due to lack of robust, reproducible and practical bioprinting techniques. Here, we demonstrate 3D aspiration-assisted freeform bioprinting of tissue spheroids by precisely positioning them in self-healing yield-stress gels, enabling the self-assembly of spheroids for fabrication of tissues. The presented approach enables the traverse of spheroids directly from the cell media to the gel and freeform positioning of the spheroids on demand. We study the underlying physical mechanism of the approach to elucidate the interactions between the aspirated spheroids and the gel's yield-stress during the transfer of spheroids from cell media to the gel. We further demonstrate the application of the proposed approach in the realization of various freeform shapes and self-assembly of human mesenchymal stem cell spheroids for the construction of cartilage and bone tissues.",Communications physics,eng,2020,No Data
Addressing thrombogenicity in vascular graft construction.,"Thrombosis is a major cause of poor patency in synthetic vascular grafts for small diameter vessel (< 6 mm) bypass. Arteries have a host of structural mechanisms by which they prevent triggering of platelet activation and the clotting cascade. Many of these are present in vascular endothelial cells. These mechanisms act together with perpetual feedback at different levels, providing a constantly fine-tuned non-thrombogenic environment. The arterial wall anatomy also serves to promote thrombosis as a healing mechanism when it has been severely injured. Surface modification of synthetic graft surfaces to attenuate the coagulation cascade has reduced thrombosis levels and improved patency in vitro and in animal models. Success in this endeavor is critically dependent on the methods used to modify the surface. Platelets adhere to positively charged surfaces due to their own negative charge. They also preferentially attach to hydrophobic surfaces. Therefore synthetic graft development is concerned with hydrophilic materials with negative surface charge. However, fibrinogen has both hydrophilic and hydrophobic binding sites-amphiphilic materials reduce its adhesion and subsequent platelet activation. The self-endothelializing synthetic graft is an attractive proposition as a confluent endothelial layer incorporates many of the anti-thrombogenic properties of arteries. Surface modification to promote this has shown good results in animal models. The difficulties experienced in achieving spontaneous endothelialisation in humans have lead to the investigation of pre-implantation in vitro endothelial cell seeding. These approaches ultimately aim to result in novel synthetic grafts which are anti-thrombogenic and hence suitable for coronary and distal infrainguinal bypass.","Journal of biomedical materials research. Part B, Applied biomaterials",eng,2007,Jul
Amine-modified magnetic iron oxide nanoparticle as a promising carrier for application in bio self-healing concrete.,"Self-healing mechanisms are a promising solution to address the concrete cracking issue. Among the investigated self-healing strategies, the biotechnological approach is distinguished itself by inducing the most compatible material with concrete composition. In this method, the potent bacteria and nutrients are incorporated into the concrete matrix. Once cracking occurs, the bacteria will be activated, and the induced CaCO<sub>3</sub> crystals will seal the concrete cracks. However, the effectiveness of a bio self-healing concrete strictly depends on the viability of bacteria. Therefore, it is required to protect the bacteria from the resulted shear forces caused by mixing and drying shrinkage of concrete. Due to the positive effects on mechanical properties and the high compatibility of metallic nanoparticles with concrete composition, for the first time, we propose 3-aminopropyltriethoxy silane-coated iron oxide nanoparticles (APTES-coated IONs) as a biocompatible carrier for Bacillus species. This study was aimed to investigate the effect of APTES-coated IONs on the bacterial viability and CaCO<sub>3</sub> yield for future application in the concrete structures. The APTES-coated IONs were successfully synthesized and characterized by transmission electron microscopy (TEM), X-ray powder diffraction (XRD), and Fourier transform infrared spectroscopy (FTIR). The results show that the presence of 100 μg/mL APTES-coated IONs could increase the bacterial viability. It was also found that the CaCO<sub>3</sub>-specific yield was significantly affected in the presence of APTES-coated IONs. The highest CaCO<sub>3</sub>-specific yield was achieved when the cells were decorated with 50 μg/mL of APTES-coated IONs. This study provides new insights for the application of APTES-coated IONs in designing bio self-healing strategies.",Applied microbiology and biotechnology,eng,2018,Jan
Hierarchical Assemblies of Supramolecular Coordination Complexes.,"Hierarchical self-assembly (HAS) is a multilevel organization process that first assembles elementary molecular units into ordered secondary structures via noncovalent interactions, which further act as the building blocks to form more complex multifunctional superstructures at the next level(s). The HAS strategy has been used as a versatile method for the preparation of soft-matter nanoarchitectures of defined size and morphologies, tunable luminescence, and biological importance. However, such preparation can be greatly simplified if well-defined dynamic structures are employed as the cores that upon linking form the desired nanoarchitectures. Discrete supramolecular coordination complexes (SCCs) with well-defined shapes, sizes, and internal cavities have been widely employed to construct hierarchical systems with functional diversity. This Account summarizes the prevailing strategies used in recent years in the preparation of SCC-based HASs and illustrates how the combination of dynamic metal-ligand coordination with other interactions was used to obtain hierarchical systems with interesting properties. HASs with dual orthogonal interactions involving coordination-driven self-assembly and hydrogen bonding/host-guest interaction generally result in robust and flexible supramolecular gels. Likewise, hybridization of SCCs with a suitable dynamic covalent network via a hierarchical strategy is useful to prepare materials with self-healing properties. The intrinsic positive charges of the SCCs also make them suitable precursors for the construction of HASs via electrostatic interactions with negatively charged biological/abiological molecules. Furthermore, the interplay between the hydrophilic and lipophilic characters of HASs by varying the number and spacial orientation of alkyl/oxyethylene chains of the SCC is a simple yet controllable approach to prepare ordered and tunable nanostructures. Certain SCC-cored hierarchical systems exhibit reversible polymorphism, typically between micellar, nanofiber, and vesicular phases, in response to various external perturbations: heat, photoirradiation, pH-variance, redox-active agents, etc. At the same time, multiple noncovalent interaction mediated HASs are growing in numbers and are promising candidates for obtaining functionally diverse materials. The photophysical properties of SCC-based HASs have been used in many analytical applications. For example, embedding tetraphenylethene (TPE)-based pyridyl ligands within metallo-supramolecular structures partially restricts the molecular rotations of its phenyl rings, endowing the resultant SCCs with weak emissions. Further aggregation of such HASs in suitable solvents results in a marked enhancement in emission intensity along with quantum yields. They act as sensitive sensors for different analytes, including pathogens, drugs, etc. HASs are also useful to develop multidrug systems with cooperative chemotherapeutic effects. Hence, the use of HASs with theranostic SCCs combining cell-imaging agents and chemotherapeutic scaffolds is a promising drug delivery strategy for cancer theranostics. At the same time, their responsiveness to stimuli, oftentimes due to the dynamic nature of the metal-ligand interactions, play an important role in drug release via a disassembly mechanism.",Accounts of chemical research,eng,2018,Sep
In-Situ X-ray Tomography Study of Cement Exposed to CO<sub>2</sub> Saturated Brine.,"For successful CO<sub>2</sub> storage in underground reservoirs, the potential problem of CO<sub>2</sub> leakage needs to be addressed. A profoundly improved understanding of the behavior of fractured cement under realistic subsurface conditions including elevated temperature, high pressure and the presence of CO<sub>2</sub> saturated brine is required. Here, we report in situ X-ray micro computed tomography (μ-CT) studies visualizing the microstructural changes upon exposure of cured Portland cement with an artificially engineered leakage path (cavity) to CO<sub>2</sub> saturated brine at high pressure. Carbonation of the bulk cement, self-healing of the leakage path in the cement specimen, and leaching of CaCO<sub>3</sub> were thus directly observed. The precipitation of CaCO<sub>3</sub>, which is of key importance as a possible healing mechanism of fractured cement, was found to be enhanced in confined regions having limited access to CO<sub>2</sub>. For the first time, the growth kinetics of CaCO<sub>3</sub> under more realistic well conditions have thus been estimated quantitatively. Combining the μ-CT observations with scanning electron microscopy resulted in a detailed understanding of the processes involved in the carbonation of cement.",Environmental science & technology,eng,2017,Aug
