Title,Author Info,Abstract
Autogenous self-healing of cement with expansive minerals-I: Impact in early age crack healing,"T Qureshi, A Kanellopoulos, A Al-Tabbaa - Construction and Building …, 2018 - Elsevier","… Self-healing materials were obtained from prisms following the final loading of the specimens 
to failure after 28-days recovery. Healing materials … Self-healing materials for SEM and …"
[PDF][PDF] Materials Today: Proceedings,"NLM Kamal, Y Bas - 2019 - researchgate.net","… Self-healing material with living bacteria spores and calcium lactate in self-contained pods, 
… introduced in the construction industry very soon. Fig. 1 shows self-healing material to block …"
[HTML][HTML] Past and present techniques of self-healing in cementitious materials: A critical review on efficiency of implemented treatments,"A Danish, MA Mosaberpanah, MU Salim - Journal of Materials Research …, 2020 - Elsevier","… available self-healing techniques and agents/materials by … role in selecting self-healing 
techniques and agents/materials, … Concrete is an indispensable construction material, which is …"
"[BOOK][B] Self-Healing Construction Materials: Fundamentals, Monitoring and Large Scale Applications","A Kanellopoulos, J Norambuena-Contreras - 2022 - Springer","… Self-healing materials form a new class of materials that have … , modeling, and assessing 
self-healing are also reviewed. The … extension of self-healing concepts to other materials (eg, …"
"Printable, room-temperature self-healing and full-color-tunable emissive composites for transparent panchromatic display and flexible high-level anti-counterfeiting","P Hu, S Zhou, Y Wang, J Xu, S Zhang, J Fu - Chemical Engineering …, 2022 - Elsevier","… the strategy for constructing full-color-tunable self-healing luminescent composites for the 
first time. Undoubtedly, the well-designed luminescent self-healing materials will provide new …"
A review of vascular networks for self-healing applications,"Y Shields, N De Belie, A Jefferson… - Smart Materials and …, 2021 - iopscience.iop.org","… Self-healing materials have the potential to reduce material consumption, cost, and … 
telecommunication, aerospace, medical, and construction. Current design philosophies are in certain …"
Construction of Autonomic Self-Healing CO2-Based Polycarbonates via One-Pot Tandem Synthetic Strategy,"GW Yang, YY Zhang, Y Wang, GP Wu, ZK Xu… - …, 2018 - ACS Publications","… Our synthesis strategy for the preparation of CO 2 -based self-healing materials is illustrated 
in Scheme 1, and more details are provided in Figure S1 of the Supporting Information. A …"
Strength and healing performance of the mortar using bacterial pellet as a self-healing material,"I Jang, D Son, Y Ryu, W Park, C Yi - … Korean Recycled Construction …, 2020 - koreascience.kr","… pellets was used for the self-healing concrete manufacturing. The … In addition, pellet self-healing 
performance of pellet mortar … that will help develop self-healing concrete in the future by …"
Self-healing material with reversible luminescence switch behavior,"J Yang, T Wang, R Guo, D Yao, W Guo… - … Applied Materials & …, 2020 - ACS Publications","… material endow it with excellent self-healing capability, high toughness, and stretchability. 
We believe this acid/base vapor-triggered self-healing … range of luminescent materials. …"
High-efficiency self-healing materials based on supramolecular polymer networks,"CC Cheng, FC Chang, JK Chen, TY Wang, DJ Lee - RSC advances, 2015 - pubs.rsc.org","… during spontaneous healing processes, 35 and many challenges still remain in the 
construction of an appropriate system that can simultaneously improve both stimuli-responsiveness …"
Self-healing cement-based materials: an asset for sustainable construction industry,"L Ferrara - IOP Conference Series: Materials Science and …, 2018 - iopscience.iop.org","… self-healing cement-based materials and experimental methods for the assessment of the 
self-healing … Self-healing materials are well known in the field of biology. Blood clotting, skin …"
On the use of crystalline admixtures in cement based construction materials: from porosity reducers to promoters of self healing,"L Ferrara, V Krelani, F Moretti - Smart materials and structures, 2016 - iopscience.iop.org","The project detailed in this paper aims at a thorough characterization of the effects of 
crystalline admixtures, currently employed as porosity reducing admixtures, on the self-healing …"
Evaluation of the mechanical performance recovery of self-healing cementitious materials–its methods and future development: a review,"XF Wang, ZH Yang, C Fang, NX Han, GM Zhu… - Construction and …, 2019 - Elsevier","… self-healing methods in engineering practice, the major disadvantages and challenges of 
the self-healing materials and … in the field of self-healing cementitious materials is addressed. …"
Self-healing in metal-based systems,"M Arseenko, J Gheysen, F Hannard, N Nothomb… - … Construction Materials …, 2022 - Springer","… the construction sector. However, limited technologies are available compared to other 
self-healing material … The main limitation for self-healing strategies in metals is the low mobility of …"
Functional self-healing materials and their potential applications in biomedical engineering,"J Chen, Y Huang, X Ma, Y Lei - … Composites and Hybrid Materials, 2018 - Springer","… This review article starts with a brief presentation of the general strategies to prepare self-healing 
materials and the characterization methods to assess self-healing performance in Sect. …"
Use of silica gel or polyurethane immobilized bacteria for self-healing concrete,"J Wang, K Van Tittelboom, N De Belie… - Construction and building …, 2012 - Elsevier","… self-healing method is especially useful to repair deep-micro cracks and it can restrain early-age 
cracks to develop to large cracks. Self-healing … Another alternative self-healing material …"
Supramolecular self-healing materials via host-guest strategy between cyclodextrin and specific types of guest molecules,"M Mohamadhoseini, Z Mohamadnia - Coordination Chemistry Reviews, 2021 - Elsevier","… self-healing property increases the service life of materials by spontaneously repairing 
the cracks or fractures. The selection of the appropriate self-healing materials … on the self-healing …"
An investigation on manufacturing of self-healing materials,"R Purohit, NK Gupta, MR Purohit, A Patil… - Materials Today …, 2015 - Elsevier","… Self-healing material is receiving an increasing amount of worldwide interest as a method to 
… materials. Biological organisms have an amazing ability to automatically initiate self-healing…"
Characterization of bioconcrete and the properties for self-healing,"L Alves, L Alves, M Mello, S Barros - Multidisciplinary Digital Publishing …, 2019 - mdpi.com","… of the most used materials in construction in general. … self-healing material, self-healing 
and potential self-repair will be limited, so it is unrealistic to expect that the use of such materials …"
[HTML][HTML] Vascular smooth muscle-inspired architecture enables soft yet tough self-healing materials for durable capacitive strain-sensor,"FY Sun, LF Liu, T Liu, XB Wang, Q Qi, ZS Hang… - Nature …, 2023 - nature.com","… The SSPU system we used to illustrate this strategy is based on dynamic hard domains 
concept that our laboratory had previously demonstrated for constructing soft self-healing …"
Tests and methods of evaluating the self-healing efficiency of concrete: A review,"NZ Muhammad, A Shafaghat, A Keyvanfar… - Construction and …, 2016 - Elsevier","… Self-healing materials are those which can restore nearly or … Alternatively, self-healing 
material is that which can detect and … for development of self-healing concrete taking into account …"
Progress and challenges in self-healing cementitious materials,"CA Fernandez, M Correa, MT Nguyen, KA Rod… - Journal of Materials …, 2021 - Springer","… , bacterial cement composites, microencapsulated self-healing materials, self-healing … 
Next-generation construction materials are led by self-healing cement and concrete. With a …"
A Potential Review on Self-healing Material–Bacterial Concrete Methods and Its Benefits,"ML Likhit, J Alex - … on Structural Engineering and Construction …, 2022 - Springer","… used in this work for preparation of self-healing concrete. A Latent Dirichlet Allocation (LDA) 
algorithm is used for analyzing the developed self-healing mechanism. However, this work …"
A review of self‐healing concrete for damage management of structures,"N De Belie, E Gruyaert, A Al‐Tabbaa… - Advanced materials …, 2018 - Wiley Online Library","… is calling for the development of smart self-healing materials and preventive repair methods. 
The … at the construction stage, may fill both interior and exterior cracks, and are regarded as …"
Principles of self‐healing polymers,"D Döhler, P Michael, W Binder - Self‐Healing Polymers: From …, 2013 - Wiley Online Library","… Indeed, a useful construction material does not only need to be strong and stiff, it also needs 
… materials, but shows that a dynamic system is required to enable a self-healing material. …"
Graphene based self-healing materials,"G Li, P Xiao, S Hou, Y Huang - Carbon, 2019 - Elsevier","… may start with the work of Dry [15], which is an important study for construction industry. It 
involves the repair or healing of cracks and the filling of voids in cementitious matrices by the …"
Analytical models for determining the dosage of capsules embedded in self-healing materials,"Z Lv, H Chen - Computational materials science, 2013 - Elsevier","… develop self-healing materials with pre-embedded capsules. … occur independently in the 
self-healing material matrix, we … for self-healing technology via embedded capsules in material. …"
Self-healing boronic acid-based hydrogels for 3D co-cultures,"ME Smithmyer, CC Deng, SE Cassel… - ACS macro …, 2018 - ACS Publications","… of self-healing hydrogels could be harnessed for not only the encapsulation and culture of 
human cells but also the subsequent construction of … the utility of self-healing materials for …"
[HTML][HTML] Concrete Self-Healing for Sustainable Buildings: A Focus on the Economic Evaluation from a Life-Cycle Perspective,"AM Panza Uguzzoni, E Fregonara, DG Ferrando… - Sustainability, 2023 - mdpi.com","… Assuming the capability of the lifespan to affect the Global Cost calculation, the results give 
full evidence of the potential benefits due to the use of self-healing materials in construction …"
Zwitterionic fusion in hydrogels and spontaneous and time-independent self-healing under physiological conditions,"T Bai, S Liu, F Sun, A Sinclair, L Zhang, Q Shao… - Biomaterials, 2014 - Elsevier","… Self-healing materials can eliminate damage or fatigue during normal utilization, thus … c, 
The construction process of a block hydrogel from different AAZ hydrogels. d, Individual AAZ …"
Glass encapsulated minerals for self-healing in cement based composites,"A Kanellopoulos, TS Qureshi, A Al-Tabbaa - Construction and Building …, 2015 - Elsevier","This study presents the encapsulation of mineral compounds as healing materials for 
cement-based composites. Three liquid (sodium silicate, colloidal silica and tetraethyl orthosilicate) …"
Self-healing materials,"A Behera, A Behera - … Materials: An Introduction to Modern Materials …, 2022 - Springer","… The building and construction … and materials studied, self-healing materials can be divided 
into two different classes, depending on the required trigger and the nature of the self-healing …"
Self-Healing Materials: Design and Applications,"MN Tahir, MU Ocheje, K Wojtkiewicz… - 3 - books.google.com","… Self-healing materials have peaked curiosity since the times of antiquity. For a very long 
time… prevent, the degradation of materials utilized for construction. A good example of primitive …"
"Exploits, Advances and Challenges in Characterizing Self-Healing Materials","CS Obayi, PS Nnamchi - Advanced Functional Materials, 2020 - books.google.com","… Characterization is also an indispensable technique for quantifying self-repairing capabilities 
of various material classes. A self-healing material is a material designed to mimic nature, …"
Self-healing construction materials: The geomimetic approach,"V Lesovik, R Fediuk, M Amran, N Vatin, R Timokhin - Sustainability, 2021 - mdpi.com","… science of materials, allows for the possibility of the self-healing of … These are materials 
during the design of which an … to respond to outside factors by self-healing the flaws that have …"
Self-healing soil: Biomimetic engineering of geotechnical structures to respond to damage,"MJ Harbottle, MT Lam, S Botusharova, DR Gardner - 2014 - orca.cardiff.ac.uk","… , composites and cementitious construction materials are able … This paper presents an overview 
of the self-healing concept, … , we explain the concept behind self-healing materials, with a …"
[PDF][PDF] Effect of incorporation of self healing admixture (SHA) on physical and mechanical properties of mortars,"BW Joa, M Ali Sikandar, Z Baloch… - J. Ceram. Process …, 2015 - researchgate.net","… of self healing materials in construction materials is well established in construction materials… 
Crystalline admixture was used as a self healing admixture in this study. The composition of …"
Construction of hierarchical nanocarrier via a “MOFs plus graphene” strategy for sustained release and rust-induced self-healing,"S Qiu, TY Sun, Y Su, LF Huang, H Zhao, Q Xue… - Chemical Engineering …, 2021 - Elsevier","… simplify the response factor of self-healing effect. Besides, the self-healing on mild steel is 
… on the frameworks or hierarchical material in the field of self-healing material and molecule …"
Self healing of concrete structures-novel approach using porous network concrete,"S Sangadji, E Schlangen - Journal of Advanced Concrete …, 2012 - jstage.jst.go.jp","… make the filling material also self healing when additional cracks appear in future. The 
goal of the project is to create a self healing material or rather a self healing component in a …"
Highly efficient self-healing materials with excellent shape memory and unprecedented mechanical properties,"C Chen, S Chen, Z Guo, W Hu, Z Chen… - Journal of Materials …, 2020 - pubs.rsc.org","Enhancing the mechanical properties and improving the self-healing efficiency are intractable 
challenges that self-healing materials still need to solve today. In this study, novel dual-…"
Crack healing in concrete using various bio influenced self-healing techniques,"W Khaliq, MB Ehsan - Construction and building materials, 2016 - Elsevier","… incorporation techniques on the self-healing efficiency and compressive strength of concrete. 
The objective of this study is to determine the effective self-healing technique in concrete …"
"Non-covalent assembly of a super-tough, highly stretchable and environmentally adaptable self-healing material inspired by nacre","X Zhu, W Zheng, H Zhao, L Wang - Journal of Materials Chemistry A, 2021 - pubs.rsc.org","… This strategy is mainly based on the design of non-covalent interactions and the construction 
of a multi-phase separation structure with adjustable soft or hard segments. Nevertheless, …"
[HTML][HTML] Self-healing coatings,"L Gopal, T Sudarshan - Surface Engineering, 2023 - Taylor & Francis","… In fact, the use of self-healing technology has been known for centuries in construction 
materials. As … , the example goes to show that the idea of self-healing materials is not a new one. …"
A review on the self‐healing ability of epoxy polymers,"F Zhang, L Zhang, M Yaseen… - Journal of Applied …, 2021 - Wiley Online Library","… These functional chemical groups participate in the construction … self-healing ability of epoxy 
thermosetting materials has become a practical and severe problem. Self-healing materials …"
Bioconcrete: next generation of self-healing concrete,"M Seifan, AK Samani, A Berenjian - Applied microbiology and …, 2016 - Springer","… Concrete is one of the most widely used construction materials and … A microbial self-healing 
approach is distinguished by its … self healing materials. Noordwijk aan zee, The Netherlands …"
Recent innovations in nano container-based self-healing coatings in the construction industry,"A Thakur, S Kaya, A Kumar - Current Nanoscience, 2022 - ingentaconnect.com","… Based on the self-healing process, self-healing materials are characterized into three 
groups, ie. vascular-based, capsule-based, and intrinsic-dependent [34]. One of the most …"
Encapsulation technology and techniques in self-healing concrete,"G Souradeep, HW Kua - Journal of Materials in Civil Engineering, 2016 - ascelibrary.org","… self-healing on actual construction … self-healing materials in the past decade, it may be a 
practical expectation to soon implement more-widespread application of self-healing materials …"
Self-healing and adaptive concrete material,"T Musa, R Almazrou, A Alothman, W Labib - Materials Today: Proceedings, 2023 - Elsevier","… To investigate the excellent performance of architectural decorative materials in the fields 
of … of smart material systems and further analyze their impact on the construction process. In …"
Bioinspired hydrogels with muscle-like structure for AIEgen-guided selective self-healing,"X Ji, Z Li, Y Hu, H Xie, W Wu, F Song, H Liu… - CCS …, 2021 - chinesechemsoc.org","… Herein, we report the construction of a composite hydrogel Gel- C consisting of three … bonds 
for robust self-healing materials. Although these artificial self-healing materials are inspired …"
[HTML][HTML] Towards machine learning approaches for predicting the self-healing efficiency of materials,"W Wang, NG Moreau, Y Yuan, PR Race… - Computational Materials …, 2019 - Elsevier","… , the background of self-healing materials will be … on self-healing materials reveals that 
basic self-healing behaviour can be classified into two types: intrinsic and extrinsic self-healing [6]…"
"Electrically conductive self-healing materials: preparation, properties, and applications","M Ramesh, RA Ramnath, A Khan, AAP Khan… - Self-healing composite …, 2020 - Elsevier","… structural materials is impossible due to the difficulties of the healing nature. Self-healing 
materials are … In case of construction industries, self-healing concept is finding its applications. …"
[PDF][PDF] Biomimetic multi-scale damage immunity for construction materials: M4L Project overview,"RJ Lark, A Al-Tabbaa, K Paine - … on Self-Healing Materials, Ghent …, 2013 - academia.edu","… In this way, these self‐healing materials and intelligent structures will significantly enhance 
… The conglomerate materials that form the basis of the majority of such construction materials …"
Self-healing textile: enzyme encapsulated layer-by-layer structural proteins,"D Gaddes, H Jung, A Pena-Francesch… - … applied materials & …, 2016 - ACS Publications","… Self-healing materials, which enable an autonomous repair … of considerable interest as 
self-healing coatings due to the … stable self-healing films were fabricated through construction of a …"
Self-healing soft pneumatic robots,"S Terryn, J Brancart, D Lefeber, G Van Assche… - Science Robotics, 2017 - science.org","… In this research, we propose to solve this weakness by constructing soft robotics from 
synthetic self-healing (SH) soft materials (15) that permit healing microscopic and macroscopic …"
Supramolecular nested microbeads as building blocks for macroscopic self‐healing scaffolds,"Z Yu, J Liu, CSY Tan, OA Scherman… - Angewandte Chemie …, 2018 - Wiley Online Library","… The construction of self-healing materials has been driven by developments in materials … 
for the development of mouldable self-healing materials by combining a flowable solution of …"
Study on high-performance spraying self-healing material for gas sealing in coal mines,"X Hu, H Dong, Y Liang, H Zhang, W Wang… - Journal of Building …, 2022 - Elsevier","… construction location in advance; hence, although the construction flexibility is higher and 
the material … , it does place high performance requirements on sealing materials [10,11]. The …"
Principles and applications of ultrasonic-based nondestructive methods for self-healing in cementitious materials,"E Ahn, H Kim, SH Sim, SW Shin, M Shin - Materials, 2017 - mdpi.com","… self-healing technologies. Particularly, with respect to the self-healing of concrete applied in 
actual construction… a slight change when self-healing materials fill the internal crack surface. …"
[PDF][PDF] Self-healing concrete: A critical review,"S Guo, S Chidiac - Proceedings of the 2019 CSCE Annual Conference, 2019 - csce.ca","… Concrete, the world’s most used construction material, is susceptible to … self-healing materials 
and procedures for concrete. Topics includes the encapsulation and encapsulated material…"
Visualization and quantification of self-healing behaviors of microcracks in cement-based materials incorporating fluorescence-labeled self-healing microcapsules,"X Wang, Y Li, C Zhang, X Zhang - Construction and Building Materials, 2022 - Elsevier","… based self-healing materials is mainly due to the release of core … self-healing technology 
using microcapsules could simultaneously detect damaged materials and self-healing materials …"
[PDF][PDF] Self Healing Strategies in Glass Structures,"F Veer - … International Conference on Self Healing Materials …, 2007 - researchgate.net","… of material and construction makes it a logical choice to introduce preemptive and self healing 
… From this several strategies for pre-emptive and self healing are outlined. The feasibility of …"
Luminescent self-healing materials constructed via coordination between lanthanide ions and phenanthroline-tethered to polymer chain,"D Zhao, J Yang, Y Wang, H Li - Dyes and Pigments, 2022 - Elsevier","… Self-healing material with additional properties has constituted a great family of functional 
materials… All the rheological measurement results suggested the successful construction of a …"
A review of the mechanical behavior of substitution materials in self-healing concrete,"CSS Durga, N Ruben - Sustainable Construction and Building Materials …, 2018 - Springer","… to self-healing of concrete. The methods and tests used for assessing self-healing are … 
solution is used for curing process, the self-healing material mixed in preparation of concrete…"
[HTML][HTML] Monitoring the chemistry of self-healing by vibrational spectroscopy–current state and perspectives,"L Zedler, MD Hager, US Schubert, MJ Harrington… - Materials Today, 2014 - Elsevier","… Of particular interest to this article are self-healing materials based on polymers and … , 
such as protective coatings, as structural materials in aircraft construction, as well as for active …"
Nanomaterials based self-healing concrete,"R Goyal, VK Verma, NB Singh - Materials Today: Proceedings, 2023 - Elsevier","… field of nanoscience, self-healing materials have taken new … many other nano-sized materials 
are being used as healing … of the most important materials in construction industry. It has …"
Self-healing electronic materials for a smart and sustainable future,"YJ Tan, J Wu, H Li, BCK Tee - ACS applied materials & interfaces, 2018 - ACS Publications","… In the following sections, we first summarize the key developments of self-healing materials. 
… Self-healing materials are being investigated for their use in construction and building, …"
Review on the self-healing concrete-approach and evaluation techniques,"SH Jakhrani, A Qudoos, HG Kim… - Journal of Ceramic …, 2019 - scholarworks.bwise.kr","… -made construction material and is the second most usable material in … Selfhealing agents 
are mostly incorporated during mixing time or after crack propagation. Self-healing materials …"
Microencapsulation of reactive isocyanates for application in self-healing materials: A review,"ANB Santos, DJ Santos, DJ Carastan - Journal of …, 2021 - Taylor & Francis","… for the development of self-healing polymers. Isocyanates are among the most promising 
compounds for the development of one-part, catalyst free, self-healing materials, but their …"
Preparation and characterization of microcapsule containing epoxy resin and its self-healing performance of anticorrosion covering material,"LP Liao, W Zhang, Y Xin, HM Wang, Y Zhao… - Chinese Science …, 2011 - Springer","… to the host material are required for self-healing materials. The in … Successful self-healing 
has been demonstrated for … The chemical construction of microcapsule was analyzed by the …"
Self-healing strain sensors based on nanostructured supramolecular conductive elastomers,"X Liu, C Lu, X Wu, X Zhang - Journal of Materials Chemistry A, 2017 - pubs.rsc.org","… ), appealing strain sensitivity and excellent self-healing properties… self-healing materials and 
future wearable sensing devices. … that the self-healing was dominated by the construction of …"
A bacteria-based self-healing cementitious composite for application in low-temperature marine environments,"D Palin, V Wiktor, HM Jonkers - Biomimetics, 2017 - mdpi.com","… in materials design and the development of a new class of smart self-healing materials. … 
to be considered as a reliable construction material. Such reductions in compressive strength …"
Self-healing performance evaluation of concrete incorporating inorganic materials based on a water permeability test,"KM Lee, HS Kim, DK Lee, KJ Shin - Materials, 2021 - mdpi.com","… compare the performance of self-healing materials. In this paper, self-healing mortars based 
on … Concrete is a widely used construction material because it possesses several beneficial …"
Bioinspired materials for self-cleaning and self-healing,"JP Youngblood, NR Sottos - Mrs Bulletin, 2008 - cambridge.org","… Self-healing materials are motivated by biological systems in which damage triggers a 
site-specific, autonomic healing response. Self-healing … -cleaning and self-healing materials and …"
Fungal calcium carbonate mineralization as a microbial approach for concrete self-healing,"W Elkhateeb, MO Elnahas, G Daba - Geomicrobiology Journal, 2022 - Taylor & Francis","… most commonly used materials in buildings construction due to its … Some self-healing 
materials could be embedded at the … However, microbial self-healing approaches have attracted …"
[PDF][PDF] Encapsulated mineral precursors for self-healing cement based composites,"A Kanellopoulos, T Qureshi… - … on Self-Healing Materials, 2015 - researchgate.net","… As such, construction materials are designed to meet a prescribed specification; material 
degradation is viewed as inevitable and mitigation necessitates expensive maintenance …"
Self-healing phenomena using PVA coated granules for sustainable construction,"JH Kim, YS Lee, A Qudoos, HG Kim… - Journal of Ceramic …, 2019 - scholarworks.bwise.kr","… In order to apply the granulated healing material (… self-healing efficiency of the 
granulated healing material will be the original approach for sustainable concrete with self-healing …"
Can self-healing mechanism helps concrete structures sustainable?,"S Sangadji - Procedia engineering, 2017 - Elsevier","… mechanism found in nature into cement-based materials / … concrete materials and/or structural 
element self-healing … in making concrete structural element self-healing. Finally the paper …"
Evaluation of self-healing mechanisms in concrete with double-walled sodium silicate microcapsules,"E Mostavi, S Asadi, MM Hassan… - Journal of materials in …, 2015 - ascelibrary.org","… The objective of this study is to evaluate a new generation of self-healing materials that 
hold … inexpensive construction material and currently is the most used construction material …"
Functionalization of hyaluronic acid for development of self-healing hydrogels for biomedical applications: A review,"T Kikani, S Dave, S Thakore - International Journal of Biological …, 2023 - Elsevier","… for construction of self-healing materials. It is non-toxic, non-immunogenic, has good 
gelation property and good injectability. Hyaluronic acid based self-healing materials … self-healing …"
Poppy-leaf extract-derived biomolecules adsorption on the rGO-nanoplatforms and application as smart self-healing material for epoxy coating,"A Dehghani, AH Mostafatabar, G Bahlakeh… - Journal of Molecular …, 2023 - Elsevier","… materials have been utilized as potential materials for designing smart composite coatings. 
Not only the coating's barrier function but also its self-healing … the self-healing behavior and …"
Dicyclopentadiene and sodium silicate microencapsulation for self-healing of concrete,"J Gilford III, MM Hassan, T Rupnow… - Journal of Materials in …, 2014 - ascelibrary.org","… years toward the use of self-healing materials in concrete. The … as to evaluate the self-healing 
mechanism in concrete through … impacting concrete construction processes as a whole. …"
[PDF][PDF] Modeling of self-healing concrete: A review,"LM Mauludin, C Oucif - Journal of Applied and Computational …, 2019 - jacm.scu.ac.ir","… Concrete is the most commonly used material in the construction area due to its high … On 
the other hand, the capability of cohesive zone model to simulate self-healing materials was …"
Recent progress of biomass based self‐healing polymers,"Y Bei, Y Ma, F Song, Z Kou, L Hu, C Bo… - Journal of Applied …, 2022 - Wiley Online Library","… the material with self-healing and reprocessing properties. The preparation of hydroxyl-ester 
self-healing materials … A self-healing ionic gel was designed by constructing coordinated …"
Reversible cross-linking polymer-based self-healing materials,"P Du, X Wang - Recent advances in smart self-healing polymers and …, 2015 - Elsevier","This chapter mainly discusses reversible cross-linking polymer-based self-healing materials, 
which will help to eliminate hidden hazards, prolong the service life, and extend the …"
Corrosion protective self-healing epoxy resin coatings based on inhibitor and polymeric healing agents encapsulated in organic and inorganic micro and …,"H Pulikkalparambil, S Siengchin… - Nano-structures & nano …, 2018 - Elsevier","… Self-healing materials attract enormous scientific attention as … find potential candidates for 
construction materials, automotive … addressed by making use of self-healing epoxy coatings. In …"
Analytical models to estimate efficiency of capsule-based self-healing cementitious materials considering effect of capsule shell thickness,"X Fang, Z Pan, A Chen - Construction and Building Materials, 2021 - Elsevier","… To improve the long-term performance of concrete structures, self-healing materials have … 
Self-healing materials mimic the ability of organisms to self-repair body wounds. Such material …"
Visualized tracing of crack self-healing features in cement/microcapsule system with X-ray microcomputed tomography,"G Fang, Y Liu, S Qin, W Ding, J Zhang, S Hong… - Construction and …, 2018 - Elsevier","… A novel type of microcapsule-based self-healing material … of the microcapsules based 
self-healing system. The healing … the microcapsule-based self-healing system is feasible and …"
Recent Progress in Self‐healing Materials for Sensor Arrays,"VP Vu, LH Sinh, SH Choa - ChemNanoMat, 2020 - Wiley Online Library","… of self-healing materials, and to acquire a deeper appreciation of the importance of self-healing 
conductors and sensors in the field of materials … construction of a self-healing sensor. …"
Processing and performance of self-healing materials,"PS Tan, MQ Zhang… - … series: materials science …, 2009 - iopscience.iop.org","… technique is particularly useful when applied to composite materials, since composites 
have … self-healing methods that had been implemented into composite materials with self-healing …"
Synthesis and properties of an efficient self-healing material based on Eucommia ulmoides gum,"D Li, J Zhou, H Kang, L Li, W Han, Q Fang… - Industrial Crops and …, 2022 - Elsevier","… autonomous, low-temperature self-healing materials by introducing pendent polyol moieties 
… , and the material showed highly efficient self-healing behavior. The self-healing efficiency …"
Structural health management technologies for inflatable/deployable structures: Integrating sensing and self-healing,"EJ Brandon, M Vozoff, EA Kolawa, GF Studor, F Lyons… - Acta Astronautica, 2011 - Elsevier","… prototype sensing technologies and new self-healing materials that address the unique … 
construction of a self-healing bladder, a prototype material has been developed using the …"
Constructing mechanochemical durable and self-healing superhydrophobic surfaces,"C Zhang, F Liang, W Zhang, H Liu, M Ge, Y Zhang… - ACS …, 2020 - ACS Publications","… Therefore, regenerating topographic structures is another important strategy for constructing 
robust self-healing superhydrophobic surfaces. Chen’s group synthesized a self-healing …"
"Recent advancements in self-healing polymers, polymer blends, and nanocomposites","CI Idumah - Polymers and Polymer Composites, 2021 - journals.sagepub.com","… applications in building and construction, aerospace, sporting materials, electronics, and … 
Self-healing materials are smart materials that demonstrate the ability to autonomously heal …"
Modeling self-healing of concrete using hybrid genetic algorithm–artificial neural network,"A Ramadan Suleiman, ML Nehdi - Materials, 2017 - mdpi.com","This paper presents an approach to predicting the intrinsic self-healing in concrete using a … 
materials, bio-healing materials, and both expansive and crystalline additives. Self-healing …"
[HTML][HTML] A virtual special issue on self-healing materials,"T Xie, BD Vogt - ACS Applied Materials & Interfaces, 2020 - ACS Publications","… manner to enable underwater self-healing over a large pH window. One major test for a 
self-healing material is the severe damage that fully separates the material across a crack, which …"
Design of polymeric capsules for self-healing concrete,"B Hilloulin, K Van Tittelboom, E Gruyaert… - Cement and Concrete …, 2015 - Elsevier","… construction budget is spent on rehabilitation and repair of the existing structures [1], [2]. 
Therefore, making self-healing … the application of self-healing materials and decrease their price …"
Room-temperature self-healing supramolecular polyurethanes based on the synergistic strengthening of biomimetic hierarchical hydrogen-bonding interactions and …,"J Xu, X Wang, X Zhang, Y Zhang, Z Yang, S Li… - Chemical Engineering …, 2023 - Elsevier","… achieve rapid self-healing, with an unexpectedly high self-healing … room-temperature 
self-healing materials with robust … in the aspects of mechanical properties for constructing …"
A cephalopod-inspired mechanoluminescence material with skin-like self-healing and sensing properties,"Q Guo, B Huang, C Lu, T Zhou, G Su, L Jia… - Materials …, 2019 - pubs.rsc.org","… self-healing materials. We believe that this work will provide valuable guidance to the design 
of biomimetic multifunctional materials, … a skin-like material via constructing a unique strain-…"
Self-healing nanofibers for engineering applications,"K Chaudhary, B Kandasubramanian - Industrial & Engineering …, 2022 - ACS Publications","… , self-healing materials have fascinated many researchers recently due to their effectiveness 
in improving the durability of materials … These materials are known as self-healing materials. …"
"Effects of self-healing on the microstructure, transport, and electrical properties of 100% construction-and demolition-waste-based geopolymer composites","H Ulugöl, MF Günal, İÖ Yaman, G Yıldırım… - Cement and Concrete …, 2021 - Elsevier","… self-healing capability of engineered geopolymer composites (EGCs) produced with 100% 
construction and demolition waste (CDW)-based materials… to assess self-healing; additionally…"
Self-healing nanocoatings for automotive application,"A Thakur, A Kumar - Nanotechnology in the Automotive Industry, 2022 - Elsevier","… self-healing aftermarket coatings but has begun to sample much higher performing self-healing 
materials … There are similar trends in the construction sector, with self-healing concrete …"
[PDF][PDF] Bacteria-based self-healing concrete-introduction,"RM Mors, HM Jonkers - V International PhD Student Workshop on …, 2012 - Citeseer","… Concrete is a relatively cheap construction material, and adding a self-healing material to 
the concrete mixture has to be economically feasible. Eg the return on investment price could …"
Use of sustainable materials in self-healing concrete,"BA Adebola, KW Kehinde, LT Roland… - … of Materials, 2020 - books.google.com","… pervasive material in the world in terms of infrastructural construction, self-healing technology 
… Future studies should focus on the production of some of these self-healing materials in …"
Self-healing nano-concrete for futuristic infrastructures: a review,"N Shaheen, RA Khushnood, MA Musarat… - Arabian Journal for …, 2022 - Springer","… concrete systems are emerging as potential applications in the construction industry. However, 
current challenges that are hindering their industrial application must be resolved. These …"
Self‐healing graphene oxide based functional architectures triggered by moisture,"H Cheng, Y Huang, Q Cheng, G Shi… - … Functional Materials, 2017 - Wiley Online Library","… with self-healing ability. This work provides a new pathway for the development of self-healing 
materials … This study not only supplies a simple strategy for constructing multidimensional …"
