Title,Abstract,Journal,Language,Year,Month
Amorphous Polyphosphate and Ca-Carbonate Nanoparticles Improve the Self-Healing Properties of both Technical and Medical Cements.,"Cement is used both as a construction material and for medical applications. Previously, it has been shown that the physiological polymer inorganic polyphosphate (polyP) is morphogenetically active in regeneration of skin, bone, and cartilage. The present study investigates the question if this polymer is also a suitable additive to improve the self-healing capacity not only of construction cement but also of inorganic bone void fillers. For the application in the cement, two different polyP-based amorphous nanoparticles (NP) are prepared, amorphous Ca-polyP NP and amorphous Ca-carbonate (ACC) NP. The particles are integrated into poly(methyl methacrylate) in a concentration ratio of 1:10. This material applied onto Portland cement blocks either by brush application or by blow spinning strongly accelerates the self-healing property of the cement after a 10 day incubation period. Most likely, this process depends on bacteria and their membrane-associated alkaline phosphatase, resulting in the formation of calcite from ACC. In a second approach, polyP is integrated into a calcium-silicate-based cement used in reconstitutive medicine. Subsequently, the cement becomes softer and more elastic. The data show that bioinspired polyP/ACC NP are suitable additives to improve the self-healing of construction cement and to biologize bone cement.",Biotechnology journal,eng,2020,Dec
"Intelligent, Biodegradable, and Self-Healing Hydrogels Utilizing DNA Quadruplexes.","A new class of hydrogels utilizing DNA (DNA quadruplex gel) has been constructed by directly and symmetrically coupling deoxynucleotide phosphoramidite monomers to the ends of polyethylene glycols (PEGs) in liquid phase, and using the resulting DNA-PEG-DNA triblock copolymers as macromonomers. Elongation of merely four deoxyguanosine residues on PEG, which produces typically ≈10 grams of desired DNA-PEG conjugates in one synthesis, resulted in intelligent and biodegradable hydrogels utilizing DNA quadruplex formation, which are responsive to various input signals such as Na<sup>+</sup> , K<sup>+</sup> , and complementary DNA strand. Gelation of DNA quadruplex gels takes place within a few seconds upon the addition of a trigger, enabling free formation just like Ca<sup>+</sup> -alginate hydrogels or possible application as an injectable polymer (IP) gel. The obtained hydrogels show good thermal stability and rheological properties, and even display self-healing ability.","Chemistry, an Asian journal",eng,2017,Sep
Self-healing hybrid nanocomposites consisting of bisphosphonated hyaluronan and calcium phosphate nanoparticles.,"Non-covalent interactions are often regarded as insufficient to construct macroscopic materials of substantial integrity and cohesion. However, the low binding energy of such reversible interactions can be compensated by increasing their number to work in concert to create strong materials. Here we present the successful development of an injectable, cohesive nanocomposite hydrogel based on reversible bonds between calcium phosphate nanoparticles and bisphosphonate-functionalized hyaluronic acid. These nanocomposites display a capacity for self-healing as well as adhesiveness to mineral surfaces such as enamel and hydroxyapatite. Most importantly, these non-covalently cross-linked composites are surprisingly robust yet biodegradable upon extensive in vitro and in vivo testing and show bone interactive capacity evidenced by bone ingrowth into material remnants. The herein presented method provides a new methodology for constructing nanoscale composites for biomedical applications, which owe their integrity to reversible bonds.",Biomaterials,eng,2014,Aug
Design of Robust Self-Healing Silicone Elastomers Based on Multiple H-Bonding and Dynamic Covalent Bond.,"A room-temperature self-healing silicone elastomer was prepared based on the synergistic effect of multiple H-bonding and dynamic covalent bond. The multiple bonds constructed by inserting thiourea into the polyurea network can inhibit the crystallization of hard urea H-bonds segments and activate the diffusion movement of polymer chains. Dynamic imine endows materials with a strong connection for the fracture interface by imine metathesis. The effect of thiourea on urea H-bonds was confirmed by the Fourier transform infrared spectrum, which showed obvious changes of H-bond density according to peak revolution of C═O and N-H. Differential scanning calorimetry demonstrated the transition from the crystalline to amorphous state after the introduction of thiourea. Tensile tests and scratch-healing tests showed that this design method can improve the self-healing property without sacrificing the mechanical strength. Finally, the optimized self-healing process was analyzed from the perspectives of the contact process, the interpenetration diffusion of the polymer chain, and rebuilding of crosslinking points between the two interfaces, which would build an avenue for constructing a fast, self-healing, and tough material.",Langmuir : the ACS journal of surfaces and colloids,eng,2022,Jan
Visible light triggered controlled formation of rapidly self-healing hydrogels based on thiol-disulfide exchange.,"The properties of stimuli-responsive hydrogels can be tailored under various external stimuli, but it is difficult to realize the customized adjustment of hydrogel properties since the crosslinking degree in the gelation process is intractable. Here, a visible light triggered thiol-disulfide exchange reaction was applied for constructing disulfide-crosslinked hydrogels from P(EMA-SS-PEG), a poly(ethylene glycol) grafted poly(ethyl methacrylate) derivative with a disulfide linkage as the grafting point. This photochemical method provides mild gelation conditions to handily regulate the morphology, mechanical properties, swelling ratio, and degradation rate of hydrogels by simply varying the irradiation time. Based on this strategy, these disulfide-crosslinked hydrogel coatings showed rapid self-healing in 10 min under ambient conditions, which was dependent on the width of the scratch, temperature, and humidity. Notably, spraying water on these coatings could significantly accelerate the self-healing process of large scratches (360 μm) at room temperature with a self-healing time of 1 hour, enabling the practical application of hydrogel coatings in a natural environment.",Soft matter,eng,2022,Apr
"All-Polysaccharide, Self-Healing Injectable Hydrogels Based on Chitosan and Oxidized Hydroxypropyl Polysaccharides.","Polysaccharide-based hydrogels are attractive materials for biomedical applications for reasons that include their polyfunctionality, generally benign nature, and biodegradability. However, the use of polysaccharide-based hydrogels may be limited by toxicity arising from small-molecule crosslinkers, or may involve undesired chemical modification [Hennink, W. E.; et al. <i>Adv. Drug Delivery Rev.</i> 2012, 64, 223-236]. Here, we report a green, simple, efficient strategy for the preparation of polysaccharide-based, in situ forming hydrogels. The Edgar group reports in the accompanying manuscript that chemoselective oxidation of oligo(hydroxypropyl)-substituted polysaccharides introduces ketone groups at the termini of the side chains [Nichols, B. L. B.; et al]. Amine-containing moieties can condense with ketones to form imines. The imine linkage is dynamic in the presence of water, providing the potential for self-healing [Wei, Z.; et al. <i>Adv. Funct. Mater.</i> 2015, 25, 1352-1359], injectability [Wei, Z.; et al. <i>Adv. Funct. Mater.</i> 2015, 25, 1352-1359], and pH responsiveness [Yao, K.; et al. <i>J. Appl. Polym. Sci.</i> 1993, 48, 343-354]. In this work, we designed and prepared two different types of hydrogels, oxidized hydroxypropyl cellulose/chitosan (Ox-HPC-Chitosan) and oxidized hydroxypropyl dextran/chitosan (Ox-HPD-Chitosan), each cross-linked by imine bonds. The mechanical properties of these hydrogels were characterized by rheometry, revealing that hydrogel storage modulus could be tuned from 300 Pa to 13 kPa simply by controlling the degree of substitution (DS) of ketone groups. Rheological characterization also illustrated the rapid self-healing property of these all-polysaccharide hydrogels. Moreover, these hydrogels exhibited high swelling rates and facile injectability. Therefore, this work reveals a potential strategy for the construction of hydrogels that require no small-molecule crosslinkers and are therefore highly attractive for biomedical, agricultural, controlled release, and other applications.",Biomacromolecules,eng,2020,Oct
Subsurface Endospore-Forming Bacteria Possess Bio-Sealant Properties.,"Concrete is a strong and fairly inexpensive building substance, but has several disadvantages like cracking that allows corrosion, thus reducing its lifespan. To mitigate these complications, long-lasting microbial self-healing cement is an alternative that is eco-friendly and also actively repairs cracks. The present paper describes the detailed experimental investigation on compressive strength of cement mortars, mixed with six alkaliphilic bacteria, isolated from subsurface mica mines of high alkalinity. The experiments showed that the addition of alkaliphilic isolates at different cell concentrations (10<sup>4</sup> and 10<sup>6</sup> cells/ml) enhanced the compressive strength of cement mortar, because the rapid growth of bacteria at high alkalinity precipitates calcite crystals that lead to filling of pores and densifying the concrete mix. Thus, Bacillus subtilis (SVUNM4) showed the highest compressive strength (28.61%) of cement mortar at 10<sup>4</sup> cells/ml compared to those of other five alkaliphilic isolates (Brevibacillus sp., SVUNM15-22.1%; P. dendritiformis, SVUNM11-19.9%; B. methylotrophicus, SVUNM9-16%; B. licheniformis, SVUNM14-12.7% and S. maltophilia, SVUNM13-9.6%) and controlled cement mortar as well. This method resulted in the filling of cracks in concrete with calcite (CaCO<sub>3</sub>), which was observed by scanning electron microscopy (SEM). Our results showed that the alkaliphilic bacterial isolates used in the study are effective in self-healing and repair of concrete cracks.",Scientific reports,eng,2018,Apr
An UV-photo and ionic dual responsive interpenetrating network hydrogel with shape memory and self-healing properties.,"Shape memory hydrogels have attracted extensive attention in fields such as artificial tissues, biomimetic devices and diagnostics, and intelligent biosensors. However, the practical applications were hindered by the absence of self-healing capability and multi-stimuli-responsiveness. To address these issues, we developed a shape memory hydrogel with self-healing and dual stimuli-response performance. The hydrogel system was constructed <i>via</i> an interpenetrating network consisting of <i>in situ</i> radical polymerization and host-guest interaction. The hydrogel exhibited rapid self-healing property, which can be stretched after self-healing for 1 min at 25 °C. Besides, the hydrogel displayed varied swelling performance in different light or solvent conditions. Moreover, the hydrogel showed a dual stimuli-responsive shape memory effect to ultraviolet (UV) light and ionic strength in 1 min. Such a shape memory hydrogel with self-healing ability and multi-stimuli-responsive properties will offer an option toward intelligent soft materials for biomedical and bionic research.",RSC advances,eng,2022,May
A binary concrete crack self-healing system containing oxygen-releasing tablet and bacteria and its Ca<sup>2+</sup>-precipitation performance.,"A strategy to supply molecular oxygen for microbial calcium precipitation was developed for the first time. Firstly, a controlled oxygen-releasing tablet (ORT) containing CaO<sub>2</sub> and lactic acid with a suitable ratio of 9:1 was developed. It can provide a stable oxygen supply and maintain pH in the range of 9.5-11.0 for 45 days while contacting with water. In the presence of oxygen, a self-healing bacterium H4 spores germinated more effectively and maintained high metabolic activity. Furthermore, H4 vegetative cells induced 50 % more calcium precipitation than that obtained without oxygen supply. Finally, a binary self-healing system containing bacterial spores and ORT was established. The calcium precipitation experiments showed that H4 in the binary self-healing system precipitated 27.5 mM calcium with oxygen supply after 32 days and dissolved oxygen (DO) concentration of the solution decreased from 15 to 4 mg l<sup>-1</sup>, while only 6.9 mM calcium precipitation was obtained without oxygen supply. This work can disclose the effect of oxygen on microbial calcium precipitation and further lay a foundation for the establishment of ternary self-healing system containing bacteria, ORT, and nutrients, which will be promising for the self-healing of cracks deep inside the concrete structure.",Applied microbiology and biotechnology,eng,2016,Dec
Biodegradable Natural Rubber Based on Novel Double Dynamic Covalent Cross-Linking.,"In this paper, biodegradable epoxidized natural rubber containing cyclic carbonate groups (CNR) was prepared by the reaction between epoxidized natural rubber (ENR) and carbon dioxide. Dynamic disulfide bonds and a boronic ester structure were successfully constructed and then the cross-linking network was formed by the thermally initiated ""click"" reaction between thiol groups of the cross-linker and the residual epoxy groups of ENR. As a result of the exquisite double dynamic covalent structure, the material exhibits high self-healing efficiency. Moreover, by virtue of the cyclic carbonate structure of the CNR, the natural rubber was confirmed to be biodegradable according to the biodegradable measurement. To the best of our knowledge, natural rubber with biodegradable and self-healing characteristics was obtained for the first time.",Polymers,eng,2022,Mar
Polymerization-Driven Self-Wrinkling on a Frozen Hydrogel Surface toward Ultra-Stretchable Polypyrrole-Based Supercapacitors.,"The construction of ultra-stretchable and smart supercapacitors with a large deformation-tolerance range and highly efficient self-healability is fully desired for next-generation wearable electronics. Herein, a sandwich-structured self-wrinkling hydrogel film (SSHF) is fabricated by freezing-constrained polymerization-driven self-wrinkling. Polypyrrole layers are first polymerized on a frozen pre-stretching hydrogel surface and subsequently self-wrinkled upon releasing the pre-strain. The SSHF with two polypyrrole electrode layers sandwiched with a hydrogel electrolytic layer is finally achieved by cutting four edges, and the all-in-one integrated structure creatively avoids the delamination between the electrodes and the electrolyte. The as-obtained SSHF can be directly used as an integrated all-in-one supercapacitor demonstrating high specific capacitance (79.5 F g<sup>-1</sup> at 0.5 A g<sup>-1</sup>), large stretchability (>500%), and reliable room temperature self-healability. The freezing-constrained polymerization-driven self-wrinkling strategy might provide a unique self-wrinkling procedure to fabricate self-healable conducting polymer-based hydrogels for ultra-stretchable smart supercapacitors.",ACS applied materials & interfaces,eng,2022,Oct
Alginate/polyacrylamide host-guest supramolecular hydrogels with enhanced adhesion.,"Although injectable hydrogels with minimally invasive delivery have garnered significant interest, their potential applications have been restricted by a singular property. In this study, a supramolecular hydrogel system with improved adhesion was constructed through host-guest interactions between alginate and polyacrylamide. The maximum tensile adhesion strength between the β-cyclodextrin and dopamine-grafted alginate/adamantane-grafted polyacrylamide (Alg-βCD-DA/PAAm-Ad, namely AβCDPA) hydrogels and pigskin reached 19.2 kPa, which was 76 % stronger than the non-catechol-based control hydrogel (β-cyclodextrin-grafted alginate/adamantane-grafted polyacrylamide, Alg-βCD/PAAm-Ad). Moreover, the hydrogels demonstrated excellent self-healing, shear-thinning, and injectable properties. The required pressure to extrude the AβCDPA<sub>2</sub> hydrogel from a 16G needle at a rate of 2.0 mL/min was 67.4 N. As the polymer concentration and adamantane substitution degree increased, the hydrogels exhibited higher modulus, stronger network structure, and lower swelling ratio and degradation rate. Encapsulating and culturing cells within these hydrogels demonstrated good cytocompatibility. Therefore, this hydrogel can serve as a viscosity extender or bioadhesive, and as a carrier material to deliver encapsulated therapeutic substances into the body through minimally invasive injection methods.",International journal of biological macromolecules,eng,2023,Jul
Use of Methylcellulose-Based Pellet to Enhance the Bacterial Self-Healing of Cement Composite.,"In this study, a new type of bacterial carrier using methylcellulose was presented, and its applicability to self-healing concrete has been explored. Methylcellulose, the main component of a 2 mm pellet-shaped carrier, can remain stable in alkaline environments and expand in neutral or acidic environments. These properties allow bacteria to survive in the high-alkaline and high-pressure environments of early age concrete, and the number of bacteria increases rapidly in the event of cracks, accelerating crack closure. The results show that the survival rate of bacterial spores inside the mortar was increased, and the pellet provides an enhanced biological anchor suitable for bacterial activity, bacterial growth, and mineral precipitation. Further, the results indicate an improved self-healing efficiency compared with mixing bacteria directly into the cement composite.","Materials (Basel, Switzerland)",eng,2021,Oct
Boronic Acid Esters and Anhydrates as Dynamic Cross-Links in Vitrimers.,"Growing environmental awareness imposes on polymer scientists the development of novel materials that show a longer lifetime and that can be easily recycled. These challenges were largely met by vitrimers, a new class of polymers that merges properties of thermoplastics and thermosets. This is achieved by the incorporation of dynamic covalent bonds into the polymer structure, which provides high stability at the service temperature, but enables the processing at elevated temperatures. Numerous types of dynamic covalent bonds have been utilized for the synthesis of vitrimers. Amongst them, boronic acid-based linkages, namely boronic acid esters and boroxines, are distinguished by their quick exchange kinetics and the possibility of easy application in various polymer systems, from commercial thermoplastics to low molecular weight thermosetting resins. This review covers the development of dynamic cross-links. This review is aimed at providing the state of the art in the utilization of boronic species for the synthesis of covalent adaptable networks. We mainly focus on the synthetic aspects of boronic linkages-based vitrimers construction. Finally, the challenges and future perspectives are provided.",Polymers,eng,2022,Feb
Self-Healing Originated van der Waals Homojunctions with Strong Interlayer Coupling for High-Performance Photodiodes.,"The dangling-bond-free surfaces of van der Waals (vdW) materials make it possible to build ultrathin junctions. Fundamentally, the interfacial phenomena and related optoelectronic properties of vdW junctions are modulated by the interlayer coupling effect. However, the weak interlayer coupling of vdW heterostructures limits the interlayer charge transfer efficiency, resulting in low photoresponsivity. Here, a bilayer MoS<sub>2</sub> homogeneous junction is constructed by stacking the as-grown onto the self-healed monolayer MoS<sub>2</sub>. The homojunction barrier of ∼165 meV is obtained by the electronic structure modulation of defect self-healing. This homojunction reveals the stronger interlayer coupling effect in comparison with vdW heterostructures. This ultrastrong interlayer coupling effect is experimentally verified by Raman spectra and angle-resolved photoemission spectroscopy. The ultrafast interlayer charge transfer takes place within ∼447 fs, which is faster than those of most vdW heterostructures. Furthermore, the homojunction photodiode manifests outstanding rectifying behavior with an ideal factor of ∼1.6, perfect air stability over 12 months, and high responsivity of ∼54.6 mA/W. Moreover, the interlayer exciton peak of ∼1.66 eV is found in vdW homojunctions. This work offers an uncommon vdW junction with strong interlayer coupling and perfects the relevance of interlayer coupling and interlayer charge transfer.",ACS nano,eng,2019,Mar
Performance of biological methods on self-healing and mechanical properties of concrete using S. pasteurii.,"Biological methods (adding bacteria to the concrete mixtures) among the most recently investigated procedures increase the durability of concrete and repair concrete cracks. In the present study, different biological methods were used to heal the cracks of concrete and the most suitable method was subsequently introduced as the main aim of the research. For this purpose, the culture medium, various sources of calcium salts as bacterial nutrients, and the effect of air-entrained agent on the healing process were studied. The results showed that the use of bacterial nutrient inside the concrete mixes has an affirmative impact on the mechanical properties and self-healing characteristics of concretes. Simultaneous use of Sporosarcina pasteurii bacteria and calcium nitrate-urea or calcium chloride-urea as a bacterial nutrient in the concrete mixture increased the 28 days compressive strength of concretes by 23.4% and 7.5%, respectively. The utilization of bacterial cells, nutrients, and culture in the concrete mixture provided the ability to heal wide cracks where the healing time was significantly reduced (about 8 days). On the other hand, separation of the bacterial culture medium slightly reduced the self-healing performance of the concretes.",Environmental science and pollution research international,eng,2023,Jan
Granular hydrogels: emergent properties of jammed hydrogel microparticles and their applications in tissue repair and regeneration.,"Granular hydrogels are emerging as a versatile and effective platform for tissue engineered constructs in regenerative medicine. The hydrogel microparticles (HMPs) that compose these materials exhibit particle jamming above a minimum packing fraction, which results in a bulk, yet dynamic, granular hydrogel scaffold. These injectable, microporous scaffolds possess self-assembling, shear-thinning, and self-healing properties. Recently, they have been utilized as cell cultures platforms and extracellular matrix mimics with remarkable success in promoting cellular infiltration and subsequent tissue remodeling in vivo. Furthermore, the modular nature of granular hydrogels accommodates heterogeneous HMP assembly, where varying HMPs have been fabricated to target distinct biological processes or deliver unique cargo. Such multifunctional materials offer enormous potential for capturing the structural and biofunctional complexity observed in native human tissue.",Current opinion in biotechnology,eng,2019,Dec
Dynameric Collagen Self-Healing Membranes with High Mechanical Strength for Effective Cell Growth Applications.,"The fabrication of biocompatible adaptive materials with high stiffness and self-healing properties for medical applications is a challenging endeavor. Collagen is a major extracellular matrix component acting as a substrate for cell adhesion and migration. Dynamers are constitutional polymers whose monomeric components are linked through reversible bonds, able to modify their constitution through reversible exchange of their components. In the current work, we demonstrate that the rational combination of collagen and dynameric networks connected with reversible covalent imine bonds is a very important and previously unreported strategy to provide biocompatible membranes with self-healing ability and excellent mechanical strength. The key challenge in the construction of such membranes is the required adaptive interaction between collagen chains and the dynamic cross-linkers, preventing the formation of defects. For example, by varying structure and molecular lengths of the dynamers, the tensile strength of the dynameric membranes reach over 80 MPa, more than 400 % higher than that observed for the reference collagen membrane, and the highest value for break strain found, was 19 %. The self-healing properties were observed when reconnecting two membrane pieces or even from crushed status of the membranes. Moreover, both MTT assay and confocal laser scanning microscopy method demonstrated the good biocompatibility of the collagen membranes, leaving more than 90 % viability for NIH 3T3 cells after 24 h co-culture.","Chemistry (Weinheim an der Bergstrasse, Germany)",eng,2020,Dec
Dynamic Macromolecular Material Design-The Versatility of Cyclodextrin-Based Host-Guest Chemistry.,"Dynamic and adaptive materials are powerful constructs in macromolecular and polymer chemistry with a wide array of applications in drug delivery, bioactive systems, and self-healing materials. Very often, dynamic materials are based on carefully tailored cyclodextrin host-guest interactions. The precise incorporation of these host and guest moieties into macromolecular building blocks allows the formation of complex macromolecular structures with predefined functions. Thus, dynamic materials with extraordinary adaptive property profiles-responsive to thermal, chemical, and photonic fields-become accessible. This Review explores the hierarchical formation of dynamic materials and complex macromolecular structures from the molecular via the macromolecular to the colloidal and macroscopic level, with a specific emphasis on the functionality and responsiveness of the assemblies, specifically in biological contexts.",Angewandte Chemie (International ed. in English),eng,2017,Jul
Macroporous Adhesive Nano-Enabled Hydrogels Generated from Air-in-Water Emulsions.,"Developing nanocomposite hydrogel with multi-functions including adjustable mechanical property, tissue-adhesion, and blood coagulation property to accelerate wound healing is highly desirable in surgical application. Here a macroporous adhesive nano-enabled hydrogel constructed from gelatin methacryloyl stabilized air-in-water emulsions incorporated with dopamine-grafted-gelatin (GelDA) and Laponite nanoclay is reported. The hydrogel exhibits interconnected macroporous structure. The physical/chemical cross-linked network formed among the various components contributes to the good mechanical strength of hydrogel, which could be further regulated by adjusting the concentration of Laponite nanoclay. Furthermore, the nanocomposite macroporous hydrogel is endowed with self-healing properties and tissue adhesion by the intermolecular hydrogen bonds, ionic interactions among Laponite nanoclay and polymers, as well as the catechol functional groups. The in vitro studies demonstrate that the macroporous hydrogel has good biocompatibility and could significantly reduce blood clotting time, which is expected to be applied for the rapid sealing and hemostasis of bleeding wounds.",Macromolecular bioscience,eng,2022,Apr
3D Printable Dynamic Hydrogel: As Simple as it Gets!,"3D printing technology offers a vast range of applications for tissue engineering applications. Over the past decade a vast range of new equipment has been developed; while, 3D printable biomaterials, especially hydrogels, are investigated to fit the printability requirements. The current candidates for bioprinting often require post-printing cross-linking to maintain their shape. On the other hand, dynamic hydrogels are considered as the most promising candidate for this application with their extrudability and self-healing properties. However, it proves to be very difficult to match the required rheological in a simple material. Here, this study presents for the first time the simplest formulation of a dynamic hydrogel based on thiol-functionalized hyaluronic acid formulated with gold ions that fulfill all the requirements to be printed without the use of external stimuli, as judged by the rheological studies. The printability is also demonstrated with a 3D printer allowing for the printing of the dynamic hydrogel as it is, achieving 3D construct with a relatively good precision and up to 24 layers, corresponding to 10 mm high. This material is the simplest 3D printable hydrogel and its mixture with cells and biological compounds is expected to open a new era in 3D bioprinting.",Macromolecular rapid communications,eng,2022,Nov
"Rapid fabrication of bionic pyrogallol-based self-adhesive hydrogel with mechanically tunable, self-healing, antibacterial, wound healing, and hemostatic properties.","Hydrogels are functional materials that are similar to human skin and have received much attention in recent years for biomedical applications. However, the preparation of nontoxic, highly adhesive, and antimicrobial hydrogels in an efficient way remains a great challenge. Inspired by adhesive mussel foot proteins (mfps) which consist of abundant catecholic amino acids and lysine (Lys) residues, gallic acid-modified ε-poly-L-lysine (EPL/GA) was synthesized, and an active functional monomer (AA-EPL/GA) was then created through a reaction with acrylic acid (AA). The polymerization of AA-EPL/GA occurred rapidly (30-160 s) under blue light (λ = 405 nm) irradiation to produce a biomimetic PAA-EPL/GA hydrogel under mild conditions. The biomimetic pyrogallol-Lys distribution endowed the PAA-EPL/GA hydrogels with superior adhesion in humid environments (with an adhesive strength of 50.02 kPa toward wet porcine skin) and tunable mechanical and self-healing properties. Additionally, the PAA-EPL/GA hydrogels exhibited outstanding antibacterial ability due to the inherent characteristics of GA and EPL. In a mouse model, PAA-EPL/GA adhered firmly around the wound tissues. Photographs of the wound and the histological results demonstrated the ability of the hydrogel to promote wound healing, control wound infection, and suppress scar formation. Moreover, the hydrogel had a good hemostatic effect on liver bleeding. Our results highlighted the promising application potential of GA-based hydrogels, which were easily, harmlessly, and efficiently fabricated by blue light irradiation.",Biomaterials advances,eng,2022,May
Design of Self-Healing Supramolecular Rubbers by Introducing Ionic Cross-Links into Natural Rubber via a Controlled Vulcanization.,"Introducing ionic associations is one of the most effective approaches to realize a self-healing behavior for rubbers. However, most of commercial rubbers are nonpolar rubbers without now available functional groups to be converted into ionic groups. In this paper, our strategy was based on a controlled peroxide-induced vulcanization to generate massive ionic cross-links via polymerization of zinc dimethacrylate (ZDMA) in natural rubber (NR) and exploited it as a potential self-healable material. We controlled vulcanization process to retard the formation of covalent cross-link network, and successfully generated a reversible supramolecular network mainly constructed by ionic cross-links. Without the restriction of covalent cross-linkings, the NR chains in ionic supramolecular network had good flexibility and mobility. The nature that the ionic cross-links was easily reconstructed and rearranged facilitating the self-healing behavior, thereby enabling a fully cut sample to rejoin and retain to its original properties after a suitable self-healing process at ambient temperature. This study thus demonstrates a feasible approach to impart an ionic association induced self-healing function to commercial rubbers without ionic functional groups.",ACS applied materials & interfaces,eng,2016,Jul
Supramolecular polymer assembly in aqueous solution arising from cyclodextrin host-guest complexation.,"The employment of cyclodextrin host-guest complexation to construct supramolecular assemblies with an emphasis on polymer networks is reviewed. The main driving force for this supramolecular assembly is host-guest complexation between cyclodextrin hosts and guest groups either of which may be discrete molecular species or substituents on a polymer backbone. The effects of such complexation on properties at the molecular and macroscopic levels are discussed. It is shown that cyclodextrin complexation may be used to design functional polymer materials with tailorable properties, especially for photo-, pH-, thermo- and redox-responsiveness and self-healing.",Beilstein journal of organic chemistry,eng,2016,No Data
Spatially controlled construction of assembloids using bioprinting.,"The biofabrication of three-dimensional (3D) tissues that recapitulate organ-specific architecture and function would benefit from temporal and spatial control of cell-cell interactions. Bioprinting, while potentially capable of achieving such control, is poorly suited to organoids with conserved cytoarchitectures that are susceptible to plastic deformation. Here, we develop a platform, termed Spatially Patterned Organoid Transfer (SPOT), consisting of an iron-oxide nanoparticle laden hydrogel and magnetized 3D printer to enable the controlled lifting, transport, and deposition of organoids. We identify cellulose nanofibers as both an ideal biomaterial for encasing organoids with magnetic nanoparticles and a shear-thinning, self-healing support hydrogel for maintaining the spatial positioning of organoids to facilitate the generation of assembloids. We leverage SPOT to create precisely arranged assembloids composed of human pluripotent stem cell-derived neural organoids and patient-derived glioma organoids. In doing so, we demonstrate the potential for the SPOT platform to construct assembloids which recapitulate key developmental processes and disease etiologies.",Nature communications,eng,2023,Jul
"Strong, Supertough and Self-Healing Biomimetic Layered Nanocomposites Enabled by Reversible Interfacial Polymer Chain Sliding.","Despite the remarkable progress in ultrastrong mechanical laminate materials, the simultaneous achievement of toughness, stretchability and self-healing properties in biomimetic layered nanocomposites remains a great challenge due to the intrinsic limitations of their hard essences and lack of effective stress transfer at the organic-inorganic fragile boundary. Here, an ultratough nanocomposite laminate is prepared by constructing chain-sliding cross-linking at the interface between sulfonated graphene nanosheets and polyurethane layers based on the ring molecules sliding on the linear polymer chains to release stresses. Unlike traditional supramolecular bonding toughening with limited sliding spacing, our strategy enables interfacial molecular chains reversible slippage when the inorganic nanosheets bear stretching force, providing sufficient interlayer spatial distance for relative sliding to dissipate more energy. The resulting laminates exhibit strong strength (22.33 MPa), supertoughness (219.08 MJ m<sup>-3</sup> ), ultrahigh stretchability (>1900 %) and self-healing ability (99.7 %), which far surpass most of reported synthetic and natural laminate materials. Moreover, the fabricated proof-of-concept electronic skin shows excellent flexibility, sensitivity and healability for human physiological signals monitoring. This strategy breaks through the challenge that traditional layered nanocomposites are intrinsically stiff and opens up the functional application of layered nanocomposites in flexible devices.",Angewandte Chemie (International ed. in English),eng,2023,Jun
Construction of durable superhydrophobic and anti-icing coatings <i>via</i> incorporating boroxine cross-linked silicone elastomers with good self-healability.,"The fragility of the micro-nano structure makes superhydrophobic coatings highly susceptible to stress, resulting in a decrease in their superhydrophobic and anti-icing performance. In this work, we proposed a new insight to improve durability by incorporating a thin layer of self-healable elastomer with a dynamic network on the micro-nano structure. We constructed superhydrophobic coatings (EP/SiO<sub>2</sub>/BFVSE) with a three-layered structure of the epoxy resin/silica nanoparticle/silicon elastomer. The silicon elastomer (BFVES) with a B-O dynamic cross-linked network and fluorinated moieties was synthesized by graft polymerization on vinyl silicon oil. The preparation route is facile and convenient for mass production. BFVES has rapid self-healing properties for scratches at room-temperature, underwater and at -18 °C. EP/SiO<sub>2</sub>/BFVSE preserved apparently higher CAs after being immersed in pH = 1, pH = 13, and NaCl solutions for 96 h as compared with the EP/SiO<sub>2</sub> coating. In a water striking environment, the CA of EP/SiO<sub>2</sub>/BFVSE was slightly decreased to 153°. SEM images further reveal that the recovery of superhydrophobicity and icephobicity is attributed to the self-healing behavior of the boroxine-containing silicon elastomer. The EP/SiO<sub>2</sub>/BFVSE coating also possesses additional self-healing ability under chemical oxidation. The high durability of the self-healable superhydrophobic coating enables great application potential in aircraft, marine vessels, and outdoor facilities in harsh environments.",Soft matter,eng,2022,Nov
Dynamic Colloidal Photonic Crystal Hydrogels with Self-Recovery and Injectability.,"Simulation of self-recovery and diversity of natural photonic crystal (PC) structures remain great challenges for artificial PC materials. Motivated by the dynamic characteristics of PC nanostructures, here, we present a new strategy for the design of hydrogel-based artificial PC materials with reversible interactions in the periodic nanostructures. The dynamic PC hydrogels, derived from self-assembled microgel colloidal crystals, were tactfully constructed by reversible crosslinking of adjacent microgels in the ordered structure via phenylboronate covalent chemistry. As proof of concept, three types of dynamic colloidal PC hydrogels with different structural colors were prepared. All the hydrogels showed perfect self-healing ability against physical damage. Moreover, dynamic crosslinking within the microgel crystals enabled shear-thinning injection of the PC hydrogels through a syringe (indicating injectability or printability), followed by rapid recovery of the structural colors. In short, in addition to the great significance in biomimicry of self-healing function of natural PC materials, our work provides a facile strategy for the construction of diversified artificial PC materials for different applications such as chem-/biosensing, counterfeit prevention, optical display, and energy conversion.","Research (Washington, D.C.)",eng,2021,No Data
